timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1564607826974,120,Google Search HTTP Request,200,OK,Google Thread Group 1-79,text,true,,12639,118,2,2,http://www.google.com/,119,0,42
1564607827120,72,Bing Search HTTP Request,200,OK,Bing Thread Group 2-80,text,true,,112530,116,1,3,http://www.bing.com/,46,0,3
1564607827073,123,Google Search HTTP Request,200,OK,Google Thread Group 1-80,text,true,,12718,118,2,2,http://www.google.com/,122,0,41
1564607827220,74,Bing Search HTTP Request,200,OK,Bing Thread Group 2-81,text,true,,112530,116,1,3,http://www.bing.com/,52,0,2
1564607827175,121,Google Search HTTP Request,200,OK,Google Thread Group 1-81,text,true,,12705,118,2,2,http://www.google.com/,120,0,39
1564607827320,73,Bing Search HTTP Request,200,OK,Bing Thread Group 2-82,text,true,,112530,116,1,3,http://www.bing.com/,53,0,3
1564607827274,121,Google Search HTTP Request,200,OK,Google Thread Group 1-82,text,true,,12695,118,2,2,http://www.google.com/,120,0,38
1564607827374,119,Google Search HTTP Request,200,OK,Google Thread Group 1-83,text,true,,12612,118,2,3,http://www.google.com/,118,0,39
1564607827421,86,Bing Search HTTP Request,200,OK,Bing Thread Group 2-83,text,true,,112530,116,1,2,http://www.bing.com/,65,0,3
1564607827520,71,Bing Search HTTP Request,200,OK,Bing Thread Group 2-84,text,true,,112530,116,1,3,http://www.bing.com/,50,0,2
1564607827473,121,Google Search HTTP Request,200,OK,Google Thread Group 1-84,text,true,,12669,118,2,2,http://www.google.com/,120,0,39
1564607827621,73,Bing Search HTTP Request,200,OK,Bing Thread Group 2-85,text,true,,112530,116,1,3,http://www.bing.com/,50,0,3
1564607827574,123,Google Search HTTP Request,200,OK,Google Thread Group 1-85,text,true,,12694,118,2,2,http://www.google.com/,121,0,39
1564607827721,69,Bing Search HTTP Request,200,OK,Bing Thread Group 2-86,text,true,,112530,116,1,3,http://www.bing.com/,49,0,2
1564607827674,121,Google Search HTTP Request,200,OK,Google Thread Group 1-86,text,true,,12682,118,2,2,http://www.google.com/,120,0,39
1564607827821,59,Bing Search HTTP Request,200,OK,Bing Thread Group 2-87,text,true,,93083,116,1,3,http://www.bing.com/,41,0,3
1564607827773,122,Google Search HTTP Request,200,OK,Google Thread Group 1-87,text,true,,12741,118,2,2,http://www.google.com/,121,0,42
1564607827920,58,Bing Search HTTP Request,200,OK,Bing Thread Group 2-88,text,true,,93084,116,1,3,http://www.bing.com/,39,0,3
1564607827875,129,Google Search HTTP Request,200,OK,Google Thread Group 1-88,text,true,,12633,118,2,2,http://www.google.com/,128,0,39
1564607828021,70,Bing Search HTTP Request,200,OK,Bing Thread Group 2-89,text,true,,112530,116,1,3,http://www.bing.com/,50,0,3
1564607827974,122,Google Search HTTP Request,200,OK,Google Thread Group 1-89,text,true,,12668,118,2,2,http://www.google.com/,121,0,39
1564607828121,71,Bing Search HTTP Request,200,OK,Bing Thread Group 2-90,text,true,,112530,116,1,3,http://www.bing.com/,50,0,3
1564607828078,124,Google Search HTTP Request,200,OK,Google Thread Group 1-90,text,true,,12652,118,2,2,http://www.google.com/,123,0,42
1564607828174,116,Google Search HTTP Request,200,OK,Google Thread Group 1-91,text,true,,12695,118,2,3,http://www.google.com/,115,0,39
1564607828220,74,Bing Search HTTP Request,200,OK,Bing Thread Group 2-91,text,true,,112530,116,1,2,http://www.bing.com/,46,0,3
1564607828319,74,Bing Search HTTP Request,200,OK,Bing Thread Group 2-92,text,true,,112530,116,1,3,http://www.bing.com/,46,0,3
1564607828274,129,Google Search HTTP Request,200,OK,Google Thread Group 1-92,text,true,,12662,118,2,2,http://www.google.com/,128,0,42
1564607828420,65,Bing Search HTTP Request,200,OK,Bing Thread Group 2-93,text,true,,93083,116,1,3,http://www.bing.com/,43,0,4
1564607828374,122,Google Search HTTP Request,200,OK,Google Thread Group 1-93,text,true,,12699,118,2,2,http://www.google.com/,121,0,42
